episode_start,precision,recall,TP,FP,FN,TN
0,0.7143,1.0000,5,2,0,13
20,0.6667,1.0000,6,3,0,11
40,nan,nan,0,0,0,20
60,0.8333,1.0000,5,1,0,14
80,1.0000,1.0000,5,0,0,15
100,1.0000,1.0000,3,0,0,17
120,0.8750,1.0000,7,1,0,12
140,1.0000,1.0000,4,0,0,16
160,0.6667,1.0000,2,1,0,17
180,1.0000,1.0000,6,0,0,14
200,1.0000,1.0000,3,0,0,17
220,1.0000,1.0000,6,0,0,14
240,1.0000,1.0000,3,0,0,17
260,1.0000,1.0000,4,0,0,16
280,1.0000,1.0000,4,0,0,16
300,1.0000,1.0000,2,0,0,18
320,1.0000,1.0000,5,0,0,15
340,1.0000,1.0000,3,0,0,17
360,1.0000,1.0000,4,0,0,16
380,1.0000,1.0000,4,0,0,16
