entity,timestamp,value
sensor_A,0,99.279548
sensor_B,0,19.654193
sensor_C,0,-0.111316
sensor_D,0,55.615870
sensor_E,0,198.724117
sensor_A,1,92.513233
sensor_B,1,20.664637
sensor_C,1,-0.267337
sensor_D,1,48.264331
sensor_E,1,201.158848
sensor_A,2,101.161489
sensor_B,2,22.327117
sensor_C,2,0.656637
sensor_D,2,50.884057
sensor_E,2,192.616784
sensor_A,3,94.926688
sensor_B,3,20.492684
sensor_C,3,1.311081
sensor_D,3,50.333255
sensor_E,3,198.936767
sensor_A,4,102.658881
sensor_B,4,17.092909
sensor_C,4,-0.312277
sensor_D,4,53.922900
sensor_E,4,208.734044
sensor_A,5,98.796852
sensor_B,5,20.753200
sensor_C,5,0.248213
sensor_D,5,56.258614
sensor_E,5,188.867778
sensor_A,6,102.841253
sensor_B,6,16.970959
sensor_C,6,-2.619945
sensor_D,6,45.144874
sensor_E,6,190.841900
sensor_A,7,104.380061
sensor_B,7,21.328532
sensor_C,7,-1.219075
sensor_D,7,56.778891
sensor_E,7,189.977972
sensor_A,8,99.568781
sensor_B,8,19.412200
sensor_C,8,0.114420
sensor_D,8,56.549090
sensor_E,8,206.384138
sensor_A,9,101.749426
sensor_B,9,21.299896
sensor_C,9,0.478492
sensor_D,9,44.984116
sensor_E,9,192.826289
sensor_A,10,97.650159
sensor_B,10,20.998653
sensor_C,10,-0.250116
sensor_D,10,68.686034
sensor_E,10,191.807075
sensor_A,11,94.505627
sensor_B,11,21.536947
sensor_C,11,1.421850
sensor_D,11,54.045542
sensor_E,11,208.358173
sensor_A,12,107.131725
sensor_B,12,19.811945
sensor_C,12,-1.422959
sensor_D,12,45.743388
sensor_E,12,209.528958
sensor_A,13,92.781608
sensor_B,13,20.067063
sensor_C,13,0.253237
sensor_D,13,47.475263
sensor_E,13,207.236320
sensor_A,14,102.903899
sensor_B,14,24.642817
sensor_C,14,0.619968
sensor_D,14,45.124772
sensor_E,14,194.382024
sensor_A,15,95.842094
sensor_B,15,21.904547
sensor_C,15,-0.566833
sensor_D,15,49.437914
sensor_E,15,207.493026
sensor_A,16,96.382685
sensor_B,16,19.412684
sensor_C,16,-1.841286
sensor_D,16,41.340171
sensor_E,16,194.322636
sensor_A,17,102.078805
sensor_B,17,22.386987
sensor_C,17,-0.018467
sensor_D,17,52.090914
sensor_E,17,201.679694
sensor_A,18,105.423706
sensor_B,18,21.786710
sensor_C,18,0.273693
sensor_D,18,41.912446
sensor_E,18,209.033853
sensor_A,19,101.905236
sensor_B,19,22.453883
sensor_C,19,-0.029907
sensor_D,19,65.624807
sensor_E,19,196.411237
sensor_A,20,107.965302
sensor_B,20,20.230238
sensor_C,20,-0.516269
sensor_D,20,40.972417
sensor_E,20,198.489694
sensor_A,21,107.116605
sensor_B,21,21.632749
sensor_C,21,0.688884
sensor_D,21,30.993019
sensor_E,21,207.109642
sensor_A,22,102.779262
sensor_B,22,18.900147
sensor_C,22,-0.627384
sensor_D,22,49.981516
sensor_E,22,217.248763
sensor_A,23,94.724497
sensor_B,23,19.144390
sensor_C,23,1.361785
sensor_D,23,46.430794
sensor_E,23,196.357485
sensor_A,24,100.488882
sensor_B,24,17.517421
sensor_C,24,0.219945
sensor_D,24,40.323059
sensor_E,24,208.851983
sensor_A,25,70.000000
sensor_B,25,20.006362
sensor_C,25,-0.122139
sensor_D,25,52.585165
sensor_E,25,209.906197
sensor_A,26,102.956770
sensor_B,26,20.104142
sensor_C,26,-0.521650
sensor_D,26,48.466426
sensor_E,26,220.202673
sensor_A,27,92.154993
sensor_B,27,19.209075
sensor_C,27,1.448102
sensor_D,27,49.646815
sensor_E,27,205.169871
sensor_A,28,102.458292
sensor_B,28,20.175792
sensor_C,28,0.699825
sensor_D,28,52.292128
sensor_E,28,221.527952
sensor_A,29,100.559835
sensor_B,29,22.965537
sensor_C,29,1.195731
sensor_D,29,45.897131
sensor_E,29,202.297348
sensor_A,30,96.959949
sensor_B,30,18.010015
sensor_C,30,0.518218
sensor_D,30,53.623602
sensor_E,30,199.547854
sensor_A,31,102.440466
sensor_B,31,18.844926
sensor_C,31,-0.712667
sensor_D,31,53.047120
sensor_E,31,181.376970
sensor_A,32,103.476420
sensor_B,32,23.803178
sensor_C,32,-0.008573
sensor_D,32,52.804096
sensor_E,32,195.091525
sensor_A,33,98.587142
sensor_B,33,20.404983
sensor_C,33,-0.166997
sensor_D,33,63.943244
sensor_E,33,231.649421
sensor_A,34,95.651354
sensor_B,34,20.944977
sensor_C,34,0.693340
sensor_D,34,37.181994
sensor_E,34,195.649702
sensor_A,35,90.215306
sensor_B,35,19.929897
sensor_C,35,0.561687
sensor_D,35,52.474419
sensor_E,35,200.469159
sensor_A,36,102.515989
sensor_B,36,17.696116
sensor_C,36,-0.777782
sensor_D,36,31.501751
sensor_E,36,196.667220
sensor_A,37,100.356498
sensor_B,37,22.002568
sensor_C,37,-0.674393
sensor_D,37,62.218686
sensor_E,37,233.302689
sensor_A,38,99.838293
sensor_B,38,19.556229
sensor_C,38,2.316171
sensor_D,38,46.801229
sensor_E,38,204.283365
sensor_A,39,88.722192
sensor_B,39,16.187266
sensor_C,39,-6.000000
sensor_D,39,40.206099
sensor_E,39,179.769549
sensor_A,40,104.964968
sensor_B,40,21.581591
sensor_C,40,-0.136367
sensor_D,40,44.713309
sensor_E,40,178.342633
sensor_A,41,100.781630
sensor_B,41,18.572317
sensor_C,41,-6.000000
sensor_D,41,52.974431
sensor_E,41,199.302436
sensor_A,42,93.676172
sensor_B,42,32.000000
sensor_C,42,1.034029
sensor_D,42,44.296412
sensor_E,42,203.119607
sensor_A,43,102.093686
sensor_B,43,21.134747
sensor_C,43,-1.902728
sensor_D,43,50.011010
sensor_E,43,204.657648
sensor_A,44,94.208401
sensor_B,44,21.545248
sensor_C,44,1.803168
sensor_D,44,33.555707
sensor_E,44,216.136007
sensor_A,45,101.266747
sensor_B,45,21.287942
sensor_C,45,-1.891149
sensor_D,45,50.890364
sensor_E,45,195.348054
sensor_A,46,101.587026
sensor_B,46,23.628377
sensor_C,46,0.202002
sensor_D,46,98.000000
sensor_E,46,193.102978
sensor_A,47,103.958075
sensor_B,47,19.665786
sensor_C,47,1.230941
sensor_D,47,48.828174
sensor_E,47,206.164095
sensor_A,48,99.420104
sensor_B,48,21.659175
sensor_C,48,0.672384
sensor_D,48,42.479040
sensor_E,48,192.592632
sensor_A,49,99.766988
sensor_B,49,8.000000
sensor_C,49,1.570101
sensor_D,49,49.397213
sensor_E,49,185.115577
sensor_A,50,97.702861
sensor_B,50,18.463148
sensor_C,50,-0.159646
sensor_D,50,43.360559
sensor_E,50,193.153120
sensor_A,51,102.409237
sensor_B,51,22.799389
sensor_C,51,-0.550482
sensor_D,51,46.827681
sensor_E,51,260.000000
sensor_A,52,105.980436
sensor_B,52,18.739255
sensor_C,52,-0.923885
sensor_D,52,33.031743
sensor_E,52,203.607632
sensor_A,53,105.184636
sensor_B,53,21.222881
sensor_C,53,0.695151
sensor_D,53,37.871412
sensor_E,53,200.698775
sensor_A,54,101.055633
sensor_B,54,20.456126
sensor_C,54,-0.314992
sensor_D,54,54.225172
sensor_E,54,214.508095
sensor_A,55,99.706537
sensor_B,55,19.824778
sensor_C,55,0.824986
sensor_D,55,55.225647
sensor_E,55,196.810328
sensor_A,56,99.819284
sensor_B,56,16.537561
sensor_C,56,0.485768
sensor_D,56,33.833338
sensor_E,56,186.182314
sensor_A,57,98.862712
sensor_B,57,17.672974
sensor_C,57,1.317652
sensor_D,57,42.055157
sensor_E,57,200.247112
sensor_A,58,107.123450
sensor_B,58,18.879329
sensor_C,58,-0.572784
sensor_D,58,49.044872
sensor_E,58,208.696072
sensor_A,59,100.903802
sensor_B,59,23.056363
sensor_C,59,-1.045837
sensor_D,59,55.488417
sensor_E,59,180.983901
sensor_A,60,105.215935
sensor_B,60,22.117162
sensor_C,60,-1.334471
sensor_D,60,98.000000
sensor_E,60,214.987783
sensor_A,61,90.141912
sensor_B,61,17.393952
sensor_C,61,-0.388637
sensor_D,61,48.213979
sensor_E,61,200.952209
sensor_A,62,97.523431
sensor_B,62,20.679466
sensor_C,62,-0.168163
sensor_D,62,48.700287
sensor_E,62,214.140424
sensor_A,63,101.215740
sensor_B,63,21.855972
sensor_C,63,0.303357
sensor_D,63,50.550659
sensor_E,63,190.260816
sensor_A,64,99.970499
sensor_B,64,8.000000
sensor_C,64,0.413372
sensor_D,64,41.812189
sensor_E,64,185.886203
sensor_A,65,103.168539
sensor_B,65,32.000000
sensor_C,65,-0.207615
sensor_D,65,44.837296
sensor_E,65,197.256840
sensor_A,66,103.376086
sensor_B,66,22.377590
sensor_C,66,1.090905
sensor_D,66,31.240302
sensor_E,66,260.000000
sensor_A,67,104.853677
sensor_B,67,19.477686
sensor_C,67,-0.512120
sensor_D,67,39.534401
sensor_E,67,207.981663
sensor_A,68,94.528320
sensor_B,68,20.376114
sensor_C,68,-0.904221
sensor_D,68,42.695887
sensor_E,68,199.657891
sensor_A,69,110.028643
sensor_B,69,23.133417
sensor_C,69,-0.283422
sensor_D,69,41.750854
sensor_E,69,197.712979
sensor_A,70,109.014282
sensor_B,70,17.020782
sensor_C,70,0.638238
sensor_D,70,51.654716
sensor_E,70,196.278200
sensor_A,71,93.303459
sensor_B,71,20.603896
sensor_C,71,-6.000000
sensor_D,71,53.372611
sensor_E,71,217.376966
sensor_A,72,98.785984
sensor_B,72,8.000000
sensor_C,72,-0.766627
sensor_D,72,36.555241
sensor_E,72,201.208196
sensor_A,73,91.141443
sensor_B,73,20.204580
sensor_C,73,-0.305829
sensor_D,73,43.611864
sensor_E,73,189.669448
sensor_A,74,98.983627
sensor_B,74,19.535900
sensor_C,74,-0.760320
sensor_D,74,51.425002
sensor_E,74,204.721509
sensor_A,75,101.383697
sensor_B,75,21.282325
sensor_C,75,1.206421
sensor_D,75,48.571114
sensor_E,75,202.471182
sensor_A,76,103.373187
sensor_B,76,8.000000
sensor_C,76,1.253122
sensor_D,76,48.366642
sensor_E,76,207.871859
sensor_A,77,95.726605
sensor_B,77,17.884438
sensor_C,77,0.205939
sensor_D,77,58.500297
sensor_E,77,195.875040
sensor_A,78,106.295845
sensor_B,78,21.264917
